dataset_group,fold,dataset,anchor,anchor_mean_abs_corr_delta,anchor_target_corr_real,anchor_target_corr_synthetic,anchor_target_corr_delta
covid,3,S1_A0_sep_only,idade,0.1245149278793599,0.25711758416089997,0.44254061135966416,0.1854230271987642
covid,3,S1_A0_sep_only,sexo,0.10478055596118917,-0.007486246804364486,0.10361516264587814,0.11110140945024262
covid,3,S1_A0_sep_only,tabagismo,0.06849678080802954,0.16344249691090806,0.07367094686837572,0.08977155004253234
covid,3,S1_A0_sep_only,comorb_cirrose,0.06650677234545614,0.20485162309968538,0.10700036092719932,0.09785126217248606
covid,3,S0_A1_anchor_only,idade,0.1308176827616823,0.25711758416089997,-0.04405871907911364,0.3011763032400136
covid,3,S0_A1_anchor_only,sexo,0.10188465858734552,-0.007486246804364486,0.04255340288796655,0.05003964969233104
covid,3,S0_A1_anchor_only,tabagismo,0.06892403499114083,0.16344249691090806,0.20195836189418329,0.03851586498327522
covid,3,S0_A1_anchor_only,comorb_cirrose,0.0641928908081488,0.20485162309968538,0.0,0.20485162309968538
covid,3,S1_A1_sep_anchor,idade,0.12155894713233932,0.25711758416089997,0.453828774478069,0.19671119031716905
covid,3,S1_A1_sep_anchor,sexo,0.10816928022264521,-0.007486246804364486,0.10307845235906672,0.1105646991634312
covid,3,S1_A1_sep_anchor,tabagismo,0.06065847976576743,0.16344249691090806,0.21274087918567014,0.049298382274762076
covid,3,S1_A1_sep_anchor,comorb_cirrose,0.06619756011534648,0.20485162309968538,0.10700036092719932,0.09785126217248606
covid,4,Standard_CTGAN,idade,0.13305083296726827,0.20517315534864494,-0.12760557631288855,0.3327787316615335
covid,4,Standard_CTGAN,sexo,0.10819338770444177,-0.016388143889836157,0.06760343035027601,0.08399157424011217
covid,4,Standard_CTGAN,tabagismo,0.07995304789526687,0.17268630140399663,-0.026696300703084607,0.19938260210708122
covid,4,Standard_CTGAN,comorb_cirrose,0.07523633646752928,0.10299802278755131,-0.03709178681721432,0.14008980960476564
covid,4,S0_A0_realism_only,idade,0.09108836156547699,0.20517315534864494,0.10756847454808485,0.09760468080056009
covid,4,S0_A0_realism_only,sexo,0.0813338055609515,-0.016388143889836157,-0.04160686400527403,0.025218720115437875
covid,4,S0_A0_realism_only,tabagismo,0.06347707227145803,0.17268630140399663,-0.06385933096038258,0.2365456323643792
covid,4,S0_A0_realism_only,comorb_cirrose,0.06382450705011845,0.10299802278755131,0.0,0.10299802278755131
covid,4,S1_A0_sep_only,idade,0.10857296078499125,0.20517315534864494,0.4472554315207698,0.24208227617212486
covid,4,S1_A0_sep_only,sexo,0.09220507218957902,-0.016388143889836157,-0.05017067951947958,0.03378253562964342
covid,4,S1_A0_sep_only,tabagismo,0.07412336272862668,0.17268630140399663,0.30872272666956163,0.136036425265565
covid,4,S1_A0_sep_only,comorb_cirrose,0.06382450705011845,0.10299802278755131,0.0,0.10299802278755131
covid,4,S0_A1_anchor_only,idade,0.10037804273196248,0.20517315534864494,0.115133706018089,0.09003944933055594
covid,4,S0_A1_anchor_only,sexo,0.08570256894943554,-0.016388143889836157,-0.041369666242152284,0.024981522352316127
covid,4,S0_A1_anchor_only,tabagismo,0.052813922354602985,0.17268630140399663,0.08617087818543226,0.08651542321856437
covid,4,S0_A1_anchor_only,comorb_cirrose,0.06382450705011845,0.10299802278755131,0.0,0.10299802278755131
covid,4,S1_A1_sep_anchor,idade,0.10887447976525087,0.20517315534864494,0.47419419682563524,0.2690210414769903
covid,4,S1_A1_sep_anchor,sexo,0.0954245156165745,-0.016388143889836157,-0.036875238910979255,0.020487095021143098
covid,4,S1_A1_sep_anchor,tabagismo,0.07056378648816466,0.17268630140399663,0.3972472441894143,0.2245609427854177
covid,4,S1_A1_sep_anchor,comorb_cirrose,0.06382450705011845,0.10299802278755131,0.0,0.10299802278755131
covid,5,Standard_CTGAN,idade,0.16378927882458671,0.18176447557777395,-0.019103582704464387,0.20086805828223833
covid,5,Standard_CTGAN,sexo,0.10433882259755022,0.03053741997059292,-0.03428032919066995,0.06481774916126287
covid,5,Standard_CTGAN,tabagismo,0.08334958658696925,0.15592252703960618,0.023673543214381528,0.13224898382522465
covid,5,Standard_CTGAN,comorb_cirrose,0.08794809915118183,0.2280319825649793,-0.06878921191111222,0.2968211944760915
covid,5,S0_A0_realism_only,idade,0.1352496248507101,0.18176447557777395,0.06339993076685703,0.11836454481091692
covid,5,S0_A0_realism_only,sexo,0.10203791293799101,0.03053741997059292,0.1284330470050786,0.09789562703448568
covid,5,S0_A0_realism_only,tabagismo,0.058875157018673706,0.15592252703960618,-0.020211302086361082,0.17613382912596726
covid,5,S0_A0_realism_only,comorb_cirrose,0.06709422559397694,0.2280319825649793,0.0,0.2280319825649793
covid,5,S1_A0_sep_only,idade,0.14011798599602576,0.18176447557777395,0.306652020835002,0.12488754525722803
