prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.15,1.0,moderate,5,Real only,RandomForest,0.6895432254945889,0.7504613864989214,0.5616438356164384
0.15,1.0,moderate,5,Random oversampling,LogisticRegression,0.3710486410041979,0.6054505494505494,0.4246153846153846
0.15,1.0,moderate,5,Random oversampling,RandomForest,0.7227413234602141,0.8075093853245605,0.6705202312138728
0.15,1.0,moderate,5,SMOTE,LogisticRegression,0.3496338914403367,0.6081490869167687,0.42724458204334365
0.15,1.0,moderate,5,SMOTE,RandomForest,0.7290070735832458,0.811680927805877,0.6839378238341969
0.15,1.0,moderate,5,SepAware-SMOTE,LogisticRegression,0.3846125279307224,0.6125602558904357,0.41496598639455784
0.15,1.0,moderate,5,SepAware-SMOTE,RandomForest,0.6946883405698756,0.7828250837028323,0.627906976744186
0.15,1.0,moderate,6,Real only,LogisticRegression,0.5170106909899064,0.6561041513141734,0.391304347826087
0.15,1.0,moderate,6,Real only,RandomForest,0.8819120213919664,0.8571001093123096,0.7515923566878981
0.15,1.0,moderate,6,Random oversampling,LogisticRegression,0.4490191640064299,0.648757788292672,0.4713804713804714
0.15,1.0,moderate,6,Random oversampling,RandomForest,0.8628064021658585,0.8682958952220677,0.7745664739884393
0.15,1.0,moderate,6,SMOTE,LogisticRegression,0.45418387439566454,0.6426631707088679,0.4610169491525424
0.15,1.0,moderate,6,SMOTE,RandomForest,0.856218950977128,0.8972954467648065,0.8260869565217391
0.15,1.0,moderate,6,SepAware-SMOTE,LogisticRegression,0.5019793800038969,0.6707255179471098,0.48249027237354086
0.15,1.0,moderate,6,SepAware-SMOTE,RandomForest,0.8654499533134341,0.8725888004407738,0.7810650887573964
0.15,1.0,moderate,7,Real only,LogisticRegression,0.7205122205548439,0.7914131757343994,0.6363636363636364
0.15,1.0,moderate,7,Real only,RandomForest,0.8882966078066514,0.8429108742712277,0.7248322147651006
0.15,1.0,moderate,7,Random oversampling,LogisticRegression,0.690265899585503,0.7165460252386138,0.5597014925373134
0.15,1.0,moderate,7,Random oversampling,RandomForest,0.8833184967776385,0.8982266263220964,0.8268156424581006
0.15,1.0,moderate,7,SMOTE,LogisticRegression,0.6949979653396638,0.7215215417213197,0.5660377358490566
0.15,1.0,moderate,7,SMOTE,RandomForest,0.8834003859996292,0.8981994019214863,0.8279569892473119
