dataset,condition,classifier,n,auprc_mean,auprc_sd,macro_f1_mean,macro_f1_sd,minority_f1_mean,minority_f1_sd,minority_recall_mean,minority_recall_sd,auroc_mean,auroc_sd,brier_mean,brier_sd
Vigitel,Standard CTGAN,CatBoost,15,0.2635802140342634,0.017382731200915214,0.4911857995452652,0.01694988430727625,0.08276553509751643,0.033411363141599856,0.04855635821580095,0.020747384975804573,0.650942059063728,0.01828202108693016,0.14044268859567116,0.0034456804782835044
Vigitel,Standard CTGAN,LogisticRegression,15,0.23274015389066485,0.022035647709735918,0.5188501903955877,0.025717349794073117,0.30322407028398557,0.03494073082598445,0.4911340442609793,0.05968097821030587,0.5877825730715184,0.040700348947721676,0.23396924484574821,0.004913245774088449
Vigitel,Standard CTGAN,RandomForest,15,0.2442843451275803,0.01851190241128194,0.5243308564572471,0.01749592281823036,0.16330494001113938,0.036514338422009185,0.11710354317165463,0.03276129656475168,0.6293351217470639,0.021037745111598727,0.15377515181059304,0.0043127864520087645
Vigitel,Standard TVAE,CatBoost,15,0.27267731992751804,0.01761902074316384,0.48462477922183583,0.017737892695592734,0.06970269641865265,0.03567705549737601,0.040754500630661626,0.023479071186873503,0.674323957478953,0.017350509851576046,0.13776303828934383,0.0038190178691987647
Vigitel,Standard TVAE,LogisticRegression,15,0.21920166029602192,0.013925855318610311,0.5363963648453454,0.015405202365173417,0.23286012212135,0.025099325079364746,0.2361953904368765,0.02744646975332139,0.575210176509179,0.01981956416069454,0.1850369923951213,0.006952289275064786
Vigitel,Standard TVAE,RandomForest,15,0.2663199511726747,0.01967988537383092,0.46165309392514037,0.0052623387280245,0.019382358117894977,0.009859308162999379,0.010186905171425294,0.005200958651877936,0.6655280774944686,0.01873385336689318,0.13665187530970202,0.0025275876665339274
Vigitel smoking,Class weighting,CatBoost,15,0.308495079103787,0.026344473440522622,0.5868315649900915,0.014266015284284268,0.34425542477598586,0.024070782636827836,0.5774412098959699,0.05114307268238955,0.7429784204077445,0.018897135215497688,0.17351577689980666,0.005235205251927276
Vigitel smoking,Class weighting,LogisticRegression,15,0.2794989838579391,0.0246743040158116,0.5620927362515798,0.011818844415030933,0.329021064318436,0.01692008667076339,0.6245126322230964,0.04098013158587598,0.7137340875018228,0.025235339002103688,0.2112196615062171,0.004840583794859831
Vigitel smoking,Class weighting,RandomForest,15,0.2958423979048214,0.027375417599443466,0.5734430714269098,0.01498387489546763,0.22023516010839658,0.028909921699305764,0.1542398811084885,0.024652864132525026,0.7346077437588814,0.018626367541291985,0.10969202679633636,0.0025259720631968428
Vigitel smoking,Random oversampling,CatBoost,15,0.30270704396127435,0.02753970034978101,0.5932915634100973,0.014146290829374191,0.348311583919771,0.022776354574095346,0.5622694291459045,0.04509154822922288,0.7366362207056155,0.020850471728126454,0.16871043066729297,0.004829367579582449
Vigitel smoking,Random oversampling,LogisticRegression,15,0.2780875057020559,0.025639237852807605,0.5597393223899293,0.00966520368360305,0.3257794637891533,0.01438574039780889,0.6196345834426087,0.039819815796942416,0.7128209409235841,0.025900327998518467,0.2107790360297937,0.005146847261236672
Vigitel smoking,Random oversampling,RandomForest,15,0.2914747584615217,0.02744082046731074,0.5944178537186477,0.017313147556385505,0.27000207956958655,0.030784099419201218,0.2191581431943352,0.02533826149720791,0.7297238264990139,0.01957018475723525,0.11584424376439234,0.0030779945960545813
Vigitel smoking,Random undersampling,CatBoost,15,0.2963258987220502,0.01996735841564728,0.5579697076041833,0.013647338802877903,0.3327018776369713,0.020673138750417458,0.6623787044322055,0.05518930732528043,0.7370957971662194,0.017608944878361652,0.20761870407588823,0.0061169613840998446
Vigitel smoking,Random undersampling,LogisticRegression,15,0.270151541401816,0.022970243520128324,0.549807016579791,0.013373468643585358,0.31857432403533265,0.01927767912384342,0.6288749016522424,0.048905878661937255,0.7042436875397801,0.02566110209413006,0.21705339780573601,0.004942137659699881
Vigitel smoking,Random undersampling,RandomForest,15,0.28682074804366814,0.018619391216592566,0.5702461426116631,0.01296558275878647,0.3461013037889148,0.01915352413883143,0.672104204913017,0.05264309650112302,0.7377802595067335,0.02017233111617752,0.20627105145112673,0.0050394399437587185
Vigitel smoking,Real only,CatBoost,15,0.3176820986670013,0.027663848610112167,0.5289491150609889,0.019585521510887535,0.12326998627900251,0.03751417949684257,0.06981816592359473,0.022548303748547303,0.7505390530705132,0.019354776666094083,0.09731102086124821,0.00211308413519136
